team,adjde,Year,conf,similar_team,similar_adjde,adjde_diff
Yale,104.07387767783187,2025,Ivy,Brown,105.58056257327132,1.5066848954394487
UC Irvine,97.33879335687143,2025,BW,UC San Diego,97.54005598072249,0.20126262385105065
Nevada,104.13853077283956,2025,MWC,Utah St.,105.39342440256917,1.254893629729608
Oregon St.,107.93657352784292,2025,WCC,Washington St.,106.88714426817867,1.049429259664251
UNLV,99.48980791276236,2025,MWC,Colorado St.,98.95445503279488,0.5353528799674763
Washington St.,106.88714426817867,2025,WCC,Oregon St.,107.93657352784292,1.049429259664251
Cornell,110.9809436927535,2025,Ivy,Harvard,107.90872968743967,3.0722140053138247
CSUN,105.6199626546344,2025,BW,UC Davis,104.19854448621942,1.4214181684149878
A&M-Corpus Christi,104.91068433609284,2025,Slnd,SFA,104.86183298138155,0.048851354711288764
LMU (CA),103.59504484557196,2025,WCC,Washington St.,106.88714426817867,3.292099422606711
UC Santa Barbara,107.95424834269524,2025,BW,Hawaii,107.99422252177466,0.039974179079422356
San Jose St.,106.62586790109523,2025,MWC,Wyoming,105.73055194690866,0.8953159541865716
Nicholls,105.92789250161344,2025,Slnd,A&M-Corpus Christi,104.91068433609284,1.0172081655206
Lamar University,102.10469110539134,2025,Slnd,McNeese,99.9535951702764,2.151095935114938
UC Riverside,110.34484399686175,2025,BW,Cal Poly,111.1377541835932,0.7929101867314472
Dartmouth,101.86951921553644,2025,Ivy,Yale,104.07387767783187,2.2043584622954313
Cal Poly,111.1377541835932,2025,BW,UC Riverside,110.34484399686175,0.7929101867314472
Wyoming,105.73055194690866,2025,MWC,Utah St.,105.39342440256917,0.337127544339495
Brown,105.58056257327132,2025,Ivy,Yale,104.07387767783187,1.5066848954394487
Pepperdine,109.99255053952088,2025,WCC,Pacific,110.41942980349344,0.42687926397256604
Southeastern La.,107.92760752849372,2025,Slnd,Houston Christian,108.35761883585116,0.4300113073574323
Princeton,107.44925642028304,2025,Ivy,Harvard,107.90872968743967,0.45947326715663905
Northwestern St.,107.01361040362168,2025,Slnd,Southeastern La.,107.92760752849372,0.91399712487204
UIW,111.52001419096108,2025,Slnd,East Texas A&M,111.10406686357548,0.41594732738559514
UTRGV,109.70553250079767,2025,Slnd,Houston Christian,108.35761883585116,1.3479136649465175
Harvard,107.90872968743967,2025,Ivy,Princeton,107.44925642028304,0.45947326715663905
Hawaii,107.99422252177466,2025,BW,UC Santa Barbara,107.95424834269524,0.039974179079422356
Portland,113.5970370477162,2025,WCC,San Diego,111.23510221604292,2.361934831673281
UC Davis,104.19854448621942,2025,BW,CSUN,105.6199626546344,1.4214181684149878
CSU Bakersfield,113.22580960788054,2025,BW,Cal St. Fullerton,112.4105445184523,0.8152650894282374
Houston Christian,108.35761883585116,2025,Slnd,Southeastern La.,107.92760752849372,0.4300113073574323
Fresno St.,108.62332216164572,2025,MWC,Air Force,109.67100749573056,1.0476853340848464
SFA,104.86183298138155,2025,Slnd,A&M-Corpus Christi,104.91068433609284,0.048851354711288764
Pacific,110.41942980349344,2025,WCC,Pepperdine,109.99255053952088,0.42687926397256604
Air Force,109.67100749573056,2025,MWC,Fresno St.,108.62332216164572,1.0476853340848464
San Diego,111.23510221604292,2025,WCC,Pacific,110.41942980349344,0.8156724125494748
Columbia,116.57140569861716,2025,Ivy,Penn,116.03161692540723,0.5397887732099207
Penn,116.03161692540723,2025,Ivy,Columbia,116.57140569861716,0.5397887732099207
Long Beach St.,114.06275970596376,2025,BW,CSU Bakersfield,113.22580960788054,0.8369500980832214
East Texas A&M,111.10406686357548,2025,Slnd,UIW,111.52001419096108,0.41594732738559514
New Orleans,117.68437589356216,2025,Slnd,UIW,111.52001419096108,6.164361702601084
Cal St. Fullerton,112.4105445184523,2025,BW,CSU Bakersfield,113.22580960788054,0.8152650894282374
